time,dimension,min,max,mean,mass,l2_norm
0.0,2,1.0848552640429378e-17,1.0,0.04021238593267671,0.04021238593267671,0.14179630807244128
4.24957275390625e-06,2,1.4674884697352067e-17,0.998674557825572,0.04021238593267672,0.04021238593267672,0.14170227755988404
8.4991455078125e-06,2,1.785358601054519e-17,0.9973526225155671,0.04021238593267671,0.04021238593267671,0.14160843379131316
1.2748718261718752e-05,2,2.074309311959459e-17,0.9960341801788493,0.04021238593267671,0.04021238593267671,0.1415147761496687
1.6998291015625e-05,2,2.3523752661573332e-17,0.9947192169975084,0.04021238593267671,0.04021238593267671,0.1414213040207403
2.124786376953125e-05,2,2.6290142589848977e-17,0.9934077192263795,0.04021238593267671,0.04021238593267671,0.14132801679315046
2.5497436523437504e-05,2,2.9095487312926425e-17,0.9920996731925639,0.04021238593267672,0.04021238593267672,0.14123491385833759
2.9747009277343754e-05,2,3.197262861172591e-17,0.9907950652949561,0.04021238593267671,0.04021238593267671,0.1411419946105395
3.399658203125e-05,2,3.494399870601349e-17,0.9894938820037728,0.04021238593267672,0.04021238593267672,0.14104925844677682
3.8246154785156256e-05,2,3.8026485588459405e-17,0.9881961098600865,0.04021238593267671,0.04021238593267671,0.14095670476683653
4.24957275390625e-05,2,4.123390185749419e-17,0.986901735475363,0.04021238593267672,0.04021238593267672,0.1408643329732557
4.6745300292968755e-05,2,4.457830078783276e-17,0.9856107455310013,0.04021238593267671,0.04021238593267671,0.1407721424713055
5.099487304687501e-05,2,4.8070717600901465e-17,0.984323126777878,0.04021238593267672,0.04021238593267672,0.1406801326689749
5.5244445800781254e-05,2,5.172161136642084e-17,0.9830388660358959,0.0402123859326767,0.0402123859326767,0.14058830297695468
5.949401855468751e-05,2,5.554114341433347e-17,0.981757950193534,0.04021238593267671,0.04021238593267671,0.14049665280862195
6.374359130859375e-05,2,5.95393621079491e-17,0.9804803662074035,0.04021238593267671,0.04021238593267671,0.14040518158002407
6.79931640625e-05,2,6.372633152820457e-17,0.9792061011018056,0.04021238593267672,0.04021238593267672,0.14031388870986336
7.224273681640626e-05,2,6.811222519020734e-17,0.977935141968293,0.04021238593267671,0.04021238593267671,0.1402227736194812
7.649230957031251e-05,2,7.270739719991233e-17,0.9766674759652354,0.04021238593267672,0.04021238593267672,0.14013183573284316
8.074188232421875e-05,2,7.752243843763888e-17,0.9754030903173877,0.04021238593267672,0.04021238593267672,0.14004107447652323
8.4991455078125e-05,2,8.256822257675257e-17,0.974141972315462,0.0402123859326767,0.0402123859326767,0.13995048927968903
8.924102783203126e-05,2,8.785594508323444e-17,0.9728841093157027,0.0402123859326767,0.0402123859326767,0.1398600795740866
9.349060058593751e-05,2,9.339715731261134e-17,0.9716294887394649,0.0402123859326767,0.0402123859326767,0.1397698447940254
9.774017333984376e-05,2,9.920379716409326e-17,0.970378098072796,0.04021238593267672,0.04021238593267672,0.1396797843763636
0.00010198974609375002,2,1.0528821732160964e-16,0.9691299248660203,0.04021238593267672,0.04021238593267672,0.13958989776049321
0.00010623931884765626,2,1.116632118230015e-16,0.967884956733328,0.04021238593267672,0.04021238593267672,0.13950018438832554
0.00011048889160156251,2,1.1834204150120474e-16,0.9666431813523652,0.04021238593267672,0.04021238593267672,0.1394106437042766
0.00011473846435546876,2,1.253384587036502e-16,0.965404586463829,0.04021238593267672,0.04021238593267672,0.13932127515525275
0.00011898803710937501,2,1.3266673159862395e-16,0.964169159871065,0.0402123859326767,0.0402123859326767,0.13923207819063632
0.00012323760986328127,2,1.4034166830727003e-16,0.9629368894396675,0.0402123859326767,0.0402123859326767,0.13914305226227133
0.0001274871826171875,2,1.483786410489131e-16,0.9617077630970832,0.04021238593267672,0.04021238593267672,0.13905419682444953
0.00013173675537109377,2,1.5679361044981775e-16,0.9604817688322178,0.04021238593267672,0.04021238593267672,0.13896551133389615
0.000135986328125,2,1.656031501375586e-16,0.9592588946950461,0.04021238593267672,0.04021238593267672,0.1388769952497561
0.00014023590087890625,2,1.7482447172220236e-16,0.9580391287962238,0.04021238593267671,0.04021238593267671,0.13878864803358024
0.00014448547363281252,2,1.8447545024964233e-16,0.9568224593067034,0.04021238593267671,0.04021238593267671,0.1387004691493114
0.00014873504638671876,2,1.9457465020035253e-16,0.9556088744573529,0.04021238593267672,0.04021238593267672,0.13861245806327083
0.00015298461914062502,2,2.0514135209759566e-16,0.9543983625385765,0.0402123859326767,0.0402123859326767,0.1385246142441448
0.00015723419189453126,2,2.1619557978203334e-16,0.9531909118999395,0.04021238593267672,0.04021238593267672,0.13843693716297098
0.0001614837646484375,2,2.2775812840424e-16,0.951986510949795,0.0402123859326767,0.0402123859326767,0.13834942629312513
0.00016573333740234377,2,2.39850593182439e-16,0.9507851481549138,0.0402123859326767,0.0402123859326767,0.13826208111030786
0.00016998291015625,2,2.5249539896957677e-16,0.9495868120401169,0.04021238593267672,0.04021238593267672,0.1381749010925314
0.00017423248291015628,2,2.6571583067141645e-16,0.9483914911879112,0.04021238593267672,0.04021238593267672,0.13808788572010652
0.00017848205566406251,2,2.7953606455550407e-16,0.9471991742381276,0.04021238593267672,0.04021238593267672,0.13800103447562975
0.00018273162841796875,2,2.939812004895166e-16,0.9460098498875616,0.04021238593267671,0.04021238593267671,0.13791434684397005
0.00018698120117187502,2,3.090772951465403e-16,0.9448235068896175,0.04021238593267672,0.04021238593267672,0.1378278223122564
0.00019123077392578126,2,3.2485139621418413e-16,0.9436401340539539,0.04021238593267671,0.04021238593267671,0.13774146036986487
