time,dimension,min,max,mean,mass,l2_norm
0.0,1,1.0848552640429378e-17,1.0,0.14179630807244128,0.14179630807244126,0.3166466974172319
8.4991455078125e-06,1,1.8812194673065778e-17,0.9973576738829215,0.14179630807244128,0.14179630807244126,0.3162278314001796
1.6998291015625e-05,1,2.638301178230075e-17,0.9947361508879606,0.14179630807244128,0.14179630807244126,0.31581171864276353
2.5497436523437504e-05,1,3.4672089185959145e-17,0.9921351598854976,0.14179630807244126,0.14179630807244128,0.3153983267698112
3.399658203125e-05,1,4.4271166251770865e-17,0.989554434659898,0.14179630807244126,0.14179630807244126,0.3149876239526831
4.24957275390625e-05,1,5.56242137808377e-17,0.9869937137957656,0.14179630807244128,0.14179630807244126,0.314579578897281
5.099487304687501e-05,1,6.915847403264938e-17,0.9844527405673934,0.14179630807244128,0.14179630807244128,0.3141741608323792
5.949401855468751e-05,1,8.533741438336113e-17,0.9819312628313049,0.14179630807244128,0.14179630807244126,0.3137713394982689
6.79931640625e-05,1,1.046879376594939e-16,0.9794290329217855,0.14179630807244126,0.14179630807244126,0.3133710851357047
7.649230957031251e-05,1,1.2781940365973504e-16,0.9769458075493065,0.14179630807244128,0.14179630807244128,0.31297336847514523
8.4991455078125e-05,1,1.5544070252353928e-16,0.9744813477017464,0.14179630807244128,0.14179630807244126,0.312578160726277
9.349060058593751e-05,1,1.8837781635968797e-16,0.972035418548321,0.14179630807244128,0.14179630807244126,0.31218543356781436
0.00010198974609375002,1,2.275929815423337e-16,0.9696077893461325,0.14179630807244128,0.14179630807244126,0.3117951591375653
0.00011048889160156251,1,2.7420609174345403e-16,0.9671982333492563,0.14179630807244128,0.14179630807244128,0.3114073100227562
0.00011898803710937501,1,3.2951881617364427e-16,0.9648065277202834,0.14179630807244128,0.1417963080724412,0.31102185925060655
0.0001274871826171875,1,3.9504185922318344e-16,0.9624324534442394,0.14179630807244128,0.14179630807244126,0.3106387802791472
0.000135986328125,1,4.725257879955077e-16,0.9600757952448081,0.14179630807244128,0.14179630807244128,0.3102580469882729
0.00014448547363281252,1,5.639958769885001e-16,0.9577363415027833,0.14179630807244128,0.14179630807244126,0.3098796336710238
0.00015298461914062502,1,6.717914540213154e-16,0.9554138841766834,0.14179630807244126,0.14179630807244126,0.3095035150250885
0.0001614837646484375,1,7.986102741392359e-16,0.9531082187254575,0.14179630807244128,0.14179630807244126,0.30912966614452075
0.00016998291015625,1,9.475584968595809e-16,0.950819144033221,0.1417963080724413,0.14179630807244126,0.3087580625116658
0.00017848205566406251,1,1.1222068960256548e-15,0.9485464623359574,0.1417963080724413,0.14179630807244126,0.30838867998928743
0.00018698120117187502,1,1.3266539904819854e-15,0.9462899791501251,0.14179630807244128,0.14179630807244126,0.30802149481289204
0.00019548034667968753,1,1.565596847780268e-15,0.9440495032031115,0.14179630807244128,0.14179630807244126,0.3076564835832425
0.00020397949218750003,1,1.844410382302771e-15,0.9418248463654797,0.14179630807244128,0.14179630807244128,0.30729362325905707
0.0002124786376953125,1,2.1692360437485665e-15,0.9396158235849507,0.14179630807244126,0.14179630807244126,0.3069328911498874
0.00022097778320312502,1,2.5470808721090727e-15,0.9374222528220714,0.14179630807244128,0.14179630807244126,0.3065742649091706
0.00022947692871093752,1,2.9859279813308974e-15,0.9352439549875163,0.14179630807244126,0.14179630807244126,0.3062177225274505
0.00023797607421875003,1,3.4948596261124136e-15,0.9330807538809754,0.1417963080724413,0.14179630807244128,0.3058632423257632
0.00024647521972656253,1,4.0841941050062074e-15,0.9309324761315795,0.14179630807244128,0.14179630807244126,0.3055108029491814
0.000254974365234375,1,4.7656378585139236e-15,0.9287989511398185,0.14179630807244128,0.14179630807244128,0.3051603833605151
0.00026347351074218755,1,5.552454233483507e-15,0.9266800110209098,0.14179630807244126,0.14179630807244126,0.30481196283416095
0.00027197265625,1,6.459650505179443e-15,0.9245754905495714,0.14179630807244128,0.14179630807244126,0.3044655209500996
0.0002804718017578125,1,7.50418487622897e-15,0.9224852271061619,0.14179630807244128,0.14179630807244126,0.3041210375880339
0.00028897094726562504,1,8.705195307591592e-15,0.9204090606241448,0.14179630807244128,0.14179630807244123,0.3037784929216661
0.0002974700927734375,1,1.0084252181100572e-14,0.9183468335388415,0.14179630807244126,0.14179630807244126,0.3034378674131088
0.00030596923828125005,1,1.1665636946332605e-14,0.9162983907374335,0.14179630807244128,0.1417963080724412,0.30309914180742686
0.0003144683837890625,1,1.3476649066927625e-14,0.9142635795101799,0.14179630807244128,0.14179630807244123,0.30276229712730607
0.000322967529296875,1,1.5547943753359733e-14,0.9122422495028139,0.14179630807244126,0.1417963080724412,0.3024273146678451
0.00033146667480468754,1,1.791390315090867e-14,0.9102342526700861,0.14179630807244126,0.14179630807244117,0.3020941759914682
0.0003399658203125,1,2.0613043843556726e-14,0.9082394432304214,0.14179630807244126,0.1417963080724412,0.3017628629229537
0.00034846496582031255,1,2.368846373709574e-14,0.9062576776216582,0.14179630807244126,0.14179630807244115,0.3014333575445768
0.00035696411132812503,1,2.7188331598229338e-14,0.9042888144578396,0.14179630807244128,0.14179630807244117,0.30110564219136293
0.0003654632568359375,1,3.116642275125224e-14,0.9023327144870276,0.14179630807244128,0.14179630807244115,0.30077969944644845
0.00037396240234375004,1,3.568270467033325e-14,0.900389240550111,0.14179630807244128,0.1417963080724411,0.30045551213654575
0.0003824615478515625,1,4.08039764538709e-14,0.8984582575405805,0.14179630807244126,0.1417963080724411,0.30013306332751083
